GDPPC_LM,GDPPC_LSD,GDPPC_LVar,GDPPC_LSKe,GDPPC_LCV,GDPPC_Median,GDPPC_IQR,GDPPC_QI,County
17176.89456308901,6550.047630634071,42903123.963575006,0.9905613463714096,0.38132897693331025,14567,6848,-0.6124415887850467,Guzhang
17365.360914389163,6536.949520156909,42731709.029079646,1.0328433190880277,0.376436145058195,14567,6848,-0.6124415887850467,Huayuan
17874.226053708193,6659.277761518116,44345980.305049725,0.9566784928078116,0.3725631387623958,16069,6848,-0.1737733644859813,Jishou
16379.251963732166,6433.101046976951,41384789.080615945,1.0183974118360772,0.3927591480503184,14426,8574,-0.32073711219967344,Longshan
18553.736845002575,6648.829938701807,44206939.55377747,0.9171676327160279,0.35835530029588947,16069,6950,-0.23136690647482014,Luxi
16679.9299485571,6413.929081170545,41138486.25828523,0.9256604006431133,0.3845297372921751,14567,8574,-0.2878469792395615,Yongshun
24460.526436526954,17003.484090215126,289118471.20619893,1.686359664129789,0.6951397442053328,18059,10242,-0.15739113454403436,Anhua
28987.088699569427,10947.65058300885,119851053.287654,2.9571075155761655,0.37767333920537755,26105,9595,-0.13225638353309016,Nan
32998.047381998455,16466.640779955313,271150258.57608736,1.9155825765747194,0.4990186415981213,26258,11832,-0.11477349560513861,Yuanjiang
19967.384336851905,6039.618202676562,36476988.03410206,1.736342045484568,0.30247417993201103,18001,6499,-0.20326204031389444,Jianghua
21743.605607870053,8497.119772501936,72201044.42824334,2.3508391700724856,0.3907870629067343,20078,8255,0.1304663840096911,Lanshan
